Seed,Init_Method,EM_Strategy,True_Max_Lik,Success_Rate,Avg_Iters_Total,Avg_Iters_Success
Seed 0,random,combined,-4966.72,11/15,17.9,15.9
Seed 0,random,alternating,-4966.72,15/15,14.7,14.7
Seed 0,cohort_perturb,combined,-4966.72,4/15,32.3,16.8
Seed 0,cohort_perturb,alternating,-4966.72,15/15,13.3,13.3
Seed 1,random,combined,-4928.21,15/15,28.5,28.5
Seed 1,random,alternating,-4928.21,15/15,32.2,32.2
Seed 1,cohort_perturb,combined,-4928.21,15/15,20.2,20.2
Seed 1,cohort_perturb,alternating,-4928.21,15/15,28.7,28.7
Seed 2,random,combined,-4980.34,14/15,12.3,12.0
Seed 2,random,alternating,-4980.34,15/15,34.3,34.3
Seed 2,cohort_perturb,combined,-4980.34,13/15,12.5,10.7
Seed 2,cohort_perturb,alternating,-4980.34,15/15,26.5,26.5
Seed 3,random,combined,-4910.76,7/15,22.6,22.0
Seed 3,random,alternating,-4910.76,4/15,43.3,14.5
Seed 3,cohort_perturb,combined,-4910.76,11/15,26.7,27.0
Seed 3,cohort_perturb,alternating,-4910.76,6/15,32.4,50.0
Seed 4,random,combined,-4994.46,15/15,15.7,15.7
Seed 4,random,alternating,-4994.46,15/15,35.9,35.9
Seed 4,cohort_perturb,combined,-4994.46,15/15,16.9,16.9
Seed 4,cohort_perturb,alternating,-4994.46,15/15,58.8,58.8
Seed 5,random,combined,-4911.02,15/15,14.3,14.3
Seed 5,random,alternating,-4911.02,15/15,26.7,26.7
Seed 5,cohort_perturb,combined,-4911.02,15/15,11.3,11.3
Seed 5,cohort_perturb,alternating,-4911.02,15/15,17.3,17.3
Seed 6,random,combined,-4882.09,15/15,14.2,14.2
Seed 6,random,alternating,-4882.09,15/15,14.1,14.1
Seed 6,cohort_perturb,combined,-4882.09,15/15,13.7,13.7
Seed 6,cohort_perturb,alternating,-4882.09,15/15,13.9,13.9
Seed 7,random,combined,-4924.8,13/15,13.9,14.0
Seed 7,random,alternating,-4924.8,15/15,35.5,35.5
Seed 7,cohort_perturb,combined,-4924.8,15/15,14.9,14.9
Seed 7,cohort_perturb,alternating,-4924.8,15/15,18.9,18.9
Seed 8,random,combined,-4901.81,15/15,21.0,21.0
Seed 8,random,alternating,-4901.81,15/15,60.9,60.9
Seed 8,cohort_perturb,combined,-4901.81,15/15,30.8,30.8
Seed 8,cohort_perturb,alternating,-4901.81,15/15,78.3,78.3
Seed 9,random,combined,-4968.31,15/15,17.2,17.2
Seed 9,random,alternating,-4968.31,15/15,54.9,54.9
Seed 9,cohort_perturb,combined,-4968.31,15/15,17.4,17.4
Seed 9,cohort_perturb,alternating,-4968.31,15/15,43.3,43.3
📊 ACROSS-SEED AVG,random,combined,-4936.85,13.5/15,17.8,17.5
📊 ACROSS-SEED AVG,random,alternating,-4936.85,13.9/15,35.3,32.4
📊 ACROSS-SEED AVG,cohort_perturb,combined,-4936.85,13.3/15,19.7,18.0
📊 ACROSS-SEED AVG,cohort_perturb,alternating,-4936.85,14.1/15,33.1,34.9
